"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,2574,"Open Water",0,0,255,0,0,1,572,0.4
"2",13,18389,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,4090,2.5
"3",14,88,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,20,0
"4",15,1370,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,305,0.2
"5",16,345,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,77,0
"6",17,375,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,83,0.1
"7",22,1869,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,416,0.3
"8",23,824,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,183,0.1
"9",24,103,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,23,0
"10",25,17029,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,3787,2.3
"11",32,1120,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,249,0.2
"12",63,6,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,1,0
"13",64,82,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,18,0
"14",65,5,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,1,0
"15",68,4,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,1,0
"16",103,7,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,2,0
"17",104,8,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,2,0
"18",105,27,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,6,0
"19",106,48,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,11,0
"20",107,95,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,21,0
"21",108,4635,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,1031,0.6
"22",109,437,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,97,0.1
"23",110,744,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,165,0.1
"24",111,1439,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,320,0.2
"25",112,2457,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,546,0.3
"26",113,3896,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,866,0.5
"27",114,6059,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,1347,0.8
"28",115,9328,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,2074,1.3
"29",116,13474,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,2997,1.8
"30",117,17856,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,3971,2.4
"31",118,28661,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,6374,3.9
"32",119,32737,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,7281,4.5
"33",120,46603,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,10364,6.4
"34",121,66035,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,14686,9
"35",122,87517,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,19463,12
"36",123,99902,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,22218,13.7
"37",124,96866,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,21542,13.2
"38",125,68800,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,15301,9.4
"39",126,40668,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,9044,5.6
"40",127,25894,"Tree Height = 27 meters",76,153,47,0.298039,0.6,0.184314,5759,3.5
"41",138,565,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,126,0.1
"42",208,1,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,0,0
"43",210,2,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,0,0
"44",211,2,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,0,0
"45",212,12,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,3,0
"46",213,10,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,2,0
"47",214,27,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,6,0
"48",215,946,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,210,0.1
"49",216,1,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,0,0
"50",221,2,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,0,0
"51",222,21,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,5,0
"52",223,4,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,1,0
"53",224,5,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,1,0
"54",225,2,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,0,0
"55",226,6,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,1,0
"56",227,5,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1,0
"57",228,8,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,2,0
"58",229,5,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,1,0
"59",230,1690,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,376,0.2
"60",301,2118,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,471,0.3
"61",302,2538,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,564,0.3
"62",303,8295,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,1845,1.1
"63",308,218,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,48,0
"64",310,16500,"Herb Height >= 1 meter",255,51,0,1,0.2,0,3670,2.3
