evt,ref_label,ref_percent,current_percent,total_count
Allegheny-Cumberland Dry Oak Forest and Woodland,A,17,0,146172
Allegheny-Cumberland Dry Oak Forest and Woodland,B,1,0,146172
Allegheny-Cumberland Dry Oak Forest and Woodland,C,13,5,146172
Allegheny-Cumberland Dry Oak Forest and Woodland,D,6,43,146172
Allegheny-Cumberland Dry Oak Forest and Woodland,E,63,53,146172
South-Central Interior Mesophytic Forest,A,2,1,173616
South-Central Interior Mesophytic Forest,B,11,87,173616
South-Central Interior Mesophytic Forest,C,32,0,173616
South-Central Interior Mesophytic Forest,D,55,12,173616
South-Central Interior Mesophytic Forest,E,0,0,173616
Southern Appalachian Oak Forest,A,5,0,234011
Southern Appalachian Oak Forest,B,25,0,234011
Southern Appalachian Oak Forest,C,36,1,234011
Southern Appalachian Oak Forest,D,25,23,234011
Southern Appalachian Oak Forest,E,9,76,234011
